ROTA;DIREÇÃO;TURNO;CAPACIDADE;ALOCADOS
ROTA 57 - ADM LSL XX P7 VOLTA;Volta;ADM LSL P7;32;0
ROTA 57 - ADM TM IDA;Ida;ADM;32;33
ROTA 57 - ADM VC VOLTA;Volta;ADM;44;38
ROTA 57 - ADM XX P2 IDA;Ida;ADM P2;32;23
ROTA 57 - ADM XX P2 VOLTA;Volta;ADM P2;32;33
ROTA 58 - 1T ESPECIAL XX P7 IDA;Ida;1T ESPECIAL P7;32;28
ROTA 58 - 1T ESPECIAL XX P7 VOLTA;Volta;1T ESPECIAL P7;32;28
ROTA 58 - 2T ESPECIAL XX P7 IDA;Ida;2T ESPECIAL P7;32;27
ROTA 58 - 2T ESPECIAL XX P7 VOLTA;Volta;2T ESPECIAL P7;32;27
ROTA 58 - 2T NORMAL LSL XX P7 IDA;Ida;2T NORMAL LSL P7;22;16
ROTA 58 - 2T NORMAL LSL XX P7 VOLTA;Volta;2T NORMAL LSL P7;22;16
ROTA 58 - 2T NORMAL TV IDA;Ida;2T Normal;32;21
ROTA 58 - 2T NORMAL TV VOLTA;Volta;2T Normal;32;21
ROTA 58 - 3T ESPECIAL XX P7 IDA;Ida;3T ESPECIAL P7;22;20
ROTA 58 - 3T ESPECIAL XX P7 VOLTA;Volta;3T ESPECIAL P7;22;20
ROTA 58 - ADM LSL XX P7 IDA;Ida;ADM LSL P7;32;25
ROTA 58 - ADM LSL XX P7 VOLTA;Volta;ADM LSL P7;32;25
ROTA 58 - ADM TM IDA;Ida;ADM;32;35
ROTA 58 - ADM VC VOLTA;Volta;ADM;48;46
ROTA 58 - ADM XX P2 IDA;Ida;ADM P2;32;20
ROTA 58 - ADM XX P2 VOLTA;Volta;ADM P2;32;26
ROTA 59 - 1T ESPECIAL XX P7 IDA;Ida;1T ESPECIAL P7;32;29
ROTA 59 - 1T ESPECIAL XX P7 VOLTA;Volta;1T ESPECIAL P7;32;29
ROTA 59 - 2T ESPECIAL XX P7 IDA;Ida;2T ESPECIAL P7;32;24
ROTA 59 - 2T ESPECIAL XX P7 VOLTA;Volta;2T ESPECIAL P7;32;24
ROTA 59 - 2T NORMAL LSL XX P7 IDA;Ida;2T NORMAL LSL P7;22;13
ROTA 59 - 2T NORMAL LSL XX P7 VOLTA;Volta;2T NORMAL LSL P7;22;13
ROTA 59 - 2T NORMAL TV IDA;Ida;2T Normal;32;33
ROTA 59 - 2T NORMAL TV VOLTA;Volta;2T Normal;32;32
ROTA 59 - 3T ESPECIAL XX P7 IDA;Ida;3T ESPECIAL P7;22;17
ROTA 59 - 3T ESPECIAL XX P7 VOLTA;Volta;3T ESPECIAL P7;22;17
ROTA 59 - ADM LSL XX P7 IDA;Ida;ADM LSL P7;32;16
ROTA 59 - ADM LSL XX P7 VOLTA;Volta;ADM LSL P7;22;16
ROTA 59 - ADM TM IDA;Ida;ADM;44;38
ROTA 59 - ADM TM VOLTA;Volta;ADM;44;32
ROTA 59 - ADM XX P2 IDA;Ida;ADM P2;32;12
ROTA 59 - ADM XX P2 VOLTA;Volta;ADM P2;32;28
ROTA 60 - 1T ESPECIAL XX P7 IDA;Ida;1T ESPECIAL P7;32;29
ROTA 60 - 1T ESPECIAL XX P7 VOLTA;Volta;1T ESPECIAL P7;32;29
ROTA 60 - 2T ESPECIAL XX P7 IDA;Ida;2T ESPECIAL P7;22;11
ROTA 60 - 2T ESPECIAL XX P7 VOLTA;Volta;2T ESPECIAL P7;22;11
ROTA 60 - 2T NORMAL LSL XX P7 IDA;Ida;2T NORMAL LSL P7;22;19
ROTA 60 - 2T NORMAL LSL XX P7 VOLTA;Volta;2T NORMAL LSL P7;22;19
ROTA 60 - 2T NORMAL TM IDA;Ida;2T Normal;22;30
ROTA 60 - 2T NORMAL TM VOLTA;Volta;2T Normal;22;30
ROTA 60 - 3T ESPECIAL XX P7 IDA;Ida;3T ESPECIAL P7;22;11
ROTA 60 - 3T ESPECIAL XX P7 VOLTA;Volta;3T ESPECIAL P7;22;11
ROTA 60 - ADM LSL XX P7 IDA;Ida;ADM LSL P7;22;12
ROTA 60 - ADM LSL XX P7 VOLTA;Volta;ADM LSL P7;22;12
ROTA 60 - ADM TM IDA;Ida;ADM;32;34
ROTA 60 - ADM TM VOLTA;Volta;ADM;44;40
ROTA 60 - ADM XX P2 IDA;Ida;ADM P2;32;20
ROTA 60 - ADM XX P2 VOLTA;Volta;ADM P2;32;24
ROTA 61 - 1T ESPECIAL XX P7 IDA;Ida;1T ESPECIAL P7;22;18
ROTA 61 - 1T ESPECIAL XX P7 VOLTA;Volta;1T ESPECIAL P7;22;18
ROTA 61 - 2T ESPECIAL XX P7 IDA;Ida;2T ESPECIAL P7;32;28
ROTA 61 - 2T ESPECIAL XX P7 VOLTA;Volta;2T ESPECIAL P7;32;28
ROTA 61 - 2T NORMAL LSL XX P7 IDA;Ida;2T NORMAL LSL P7;32;23
ROTA 61 - 2T NORMAL LSL XX P7 VOLTA;Volta;2T NORMAL LSL P7;22;23
ROTA 61 - 2T NORMAL TV IDA;Ida;2T Normal;22;27
ROTA 61 - 2T NORMAL TV VOLTA;Volta;2T Normal;22;27
ROTA 61 - 3T ESPECIAL XX P7 IDA;Ida;3T ESPECIAL P7;15;10
ROTA 61 - 3T ESPECIAL XX P7 VOLTA;Volta;3T ESPECIAL P7;15;10
ROTA 61 - ADM LSL XX P7 IDA;Ida;ADM LSL P7;44;34
ROTA 61 - ADM LSL XX P7 VOLTA;Volta;ADM LSL P7;44;34
ROTA 61 - ADM TM IDA;Ida;ADM;44;45
ROTA 61 - ADM TM VOLTA;Volta;ADM;44;41
ROTA 61 - ADM XX P2 IDA;Ida;ADM P2;32;20
ROTA 61 - ADM XX P2 VOLTA;Volta;ADM P2;32;21
ROTA 62 - 1T ESPECIAL XX P7 IDA;Ida;1T ESPECIAL P7;22;17
ROTA 62 - 1T ESPECIAL XX P7 VOLTA;Volta;1T ESPECIAL P7;22;17
ROTA 62 - 2T ESPECIAL XX P7 IDA;Ida;2T ESPECIAL P7;22;14
ROTA 62 - 2T ESPECIAL XX P7 VOLTA;Volta;2T ESPECIAL P7;22;14
ROTA 62 - 2T NORMAL VC IDA;Ida;2T Normal;32;30
ROTA 62 - 2T NORMAL VC VOLTA;Volta;2T Normal;32;34
ROTA 62 - 3T ESPECIAL XX P7 IDA;Ida;3T ESPECIAL P7;22;18
ROTA 62 - 3T ESPECIAL XX P7 VOLTA;Volta;3T ESPECIAL P7;22;18
ROTA 62 - ADM LSL XX P7 IDA;Ida;ADM LSL P7;32;24
ROTA 62 - ADM LSL XX P7 VOLTA;Volta;ADM LSL P7;32;24
ROTA 62 - ADM TM IDA;Ida;ADM;32;27
ROTA 62 - ADM TM VOLTA;Volta;ADM;44;39
ROTA 62 - ADM XX P2 IDA;Ida;ADM P2;32;23
ROTA 62 - ADM XX P2 VOLTA;Volta;ADM P2;32;22
ROTA 63 - 1T ESPECIAL XX P7 IDA;Ida;1T ESPECIAL P7;32;26
ROTA 63 - 1T ESPECIAL XX P7 VOLTA;Volta;1T ESPECIAL P7;32;26
ROTA 63 - 2T ESPECIAL XX P7 IDA;Ida;2T ESPECIAL P7;32;24
ROTA 63 - 2T ESPECIAL XX P7 VOLTA;Volta;2T ESPECIAL P7;32;24
ROTA 63 - 2T NORMAL TV IDA;Ida;2T Normal;22;17
ROTA 63 - 2T NORMAL TV VOLTA;Volta;2T Normal;22;17
ROTA 63 - 3T ESPECIAL XX P7 IDA;Ida;3T ESPECIAL P7;22;20
ROTA 63 - 3T ESPECIAL XX P7 VOLTA;Volta;3T ESPECIAL P7;22;20
ROTA 63 - ADM LSL XX P7 IDA;Ida;ADM LSL P7;32;24
ROTA 63 - ADM LSL XX P7 VOLTA;Volta;ADM LSL P7;32;24
ROTA 63 - ADM TM IDA;Ida;ADM;44;47
ROTA 63 - ADM TM VOLTA;Volta;ADM;32;24
ROTA 63 - ADM XX P2 IDA;Ida;ADM P2;32;19
ROTA 63 - ADM XX P2 VOLTA;Volta;ADM P2;32;33
ROTA 64 - 1T ESPECIAL XX P7 IDA;Ida;1T ESPECIAL P7;22;17
ROTA 64 - 1T ESPECIAL XX P7 VOLTA;Volta;1T ESPECIAL P7;22;17
ROTA 64 - 2T ESPECIAL XX P7 IDA;Ida;2T ESPECIAL P7;32;23
ROTA 64 - 2T ESPECIAL XX P7 VOLTA;Volta;2T ESPECIAL P7;32;23
ROTA 64 - 2T NORMAL TV IDA;Ida;2T Normal;22;19
ROTA 64 - 2T NORMAL TV VOLTA;Volta;2T Normal;22;20
ROTA 64 - 3T ESPECIAL XX P7 IDA;Ida;3T ESPECIAL P7;22;13
ROTA 64 - 3T ESPECIAL XX P7 VOLTA;Volta;3T ESPECIAL P7;22;13
ROTA 64 - ADM LSL XX P7 IDA;Ida;ADM LSL P7;44;34
ROTA 64 - ADM LSL XX P7 VOLTA;Volta;ADM LSL P7;44;34
ROTA 64 - ADM TM IDA;Ida;ADM;44;43
ROTA 64 - ADM XX P2 IDA;Ida;ADM P2;44;30
ROTA 64 - ADM XX P2 VOLTA;Volta;ADM P2;32;35
ROTA 65 - 1T ESPECIAL XX P7 IDA;Ida;1T ESPECIAL P7;22;14
ROTA 65 - 1T ESPECIAL XX P7 VOLTA;Volta;1T ESPECIAL P7;22;14
ROTA 65 - 2T ESPECIAL XX P7 IDA;Ida;2T ESPECIAL P7;32;28
ROTA 65 - 2T ESPECIAL XX P7 VOLTA;Volta;2T ESPECIAL P7;32;28
ROTA 65 - 2T NORMAL TV IDA;Ida;2T Normal;22;25
ROTA 65 - 2T NORMAL TV VOLTA;Volta;2T Normal;22;25
ROTA 65 - 3T ESPECIAL XX P7 IDA;Ida;3T ESPECIAL P7;22;12
ROTA 65 - 3T ESPECIAL XX P7 VOLTA;Volta;3T ESPECIAL P7;22;12
ROTA 65 - ADM LSL XX P7 IDA;Ida;ADM LSL P7;22;11
ROTA 65 - ADM LSL XX P7 VOLTA;Volta;ADM LSL P7;22;11
ROTA 65 - ADM TM IDA;Ida;ADM;32;32
ROTA 65 - ADM VC VOLTA;Volta;ADM;32;28
ROTA 65 - ADM XX P2 IDA;Ida;ADM P2;32;21
ROTA 65 - ADM XX P2 VOLTA;Volta;ADM P2;32;36
ROTA 66 - 1T ESPECIAL XX P7 IDA;Ida;1T ESPECIAL P7;22;19
ROTA 66 - 1T ESPECIAL XX P7 VOLTA;Volta;1T ESPECIAL P7;22;19
ROTA 66 - 2T ESPECIAL XX P7 IDA;Ida;2T ESPECIAL P7;22;20
ROTA 66 - 2T ESPECIAL XX P7 VOLTA;Volta;2T ESPECIAL P7;22;20
ROTA 66 - 2T NORMAL TM IDA;Ida;2T Normal;22;28
ROTA 66 - 2T NORMAL TM VOLTA;Volta;2T Normal;22;28
ROTA 66 - 3T ESPECIAL XX P7 IDA;Ida;3T ESPECIAL P7;22;20
ROTA 66 - 3T ESPECIAL XX P7 VOLTA;Volta;3T ESPECIAL P7;22;20
ROTA 66 - ADM LSL XX P7 IDA;Ida;ADM LSL P7;32;20
ROTA 66 - ADM LSL XX P7 VOLTA;Volta;ADM LSL P7;32;20
ROTA 66 - ADM TM IDA;Ida;ADM;44;42
ROTA 66 - ADM VC VOLTA;Volta;ADM;44;45
ROTA 66 - ADM XX P2 IDA;Ida;ADM P2;44;30
ROTA 66 - ADM XX P2 VOLTA;Volta;ADM P2;32;26
ROTA 67 - 1T ESPECIAL XX P7 IDA;Ida;1T ESPECIAL P7;22;21
ROTA 67 - 1T ESPECIAL XX P7 VOLTA;Volta;1T ESPECIAL P7;22;21
ROTA 67 - 2T ESPECIAL XX P7 IDA;Ida;2T ESPECIAL P7;22;18
ROTA 67 - 2T ESPECIAL XX P7 VOLTA;Volta;2T ESPECIAL P7;22;18
ROTA 67 - 2T NORMAL TM IDA;Ida;2T Normal;32;36
ROTA 67 - 2T NORMAL TM VOLTA;Volta;2T Normal;32;33
ROTA 67 - 3T ESPECIAL XX P7 IDA;Ida;3T ESPECIAL P7;22;19
ROTA 67 - 3T ESPECIAL XX P7 VOLTA;Volta;3T ESPECIAL P7;22;19
ROTA 67 - ADM LSL XX P7 IDA;Ida;ADM LSL P7;32;20
ROTA 67 - ADM LSL XX P7 VOLTA;Volta;ADM LSL P7;32;20
ROTA 67 - ADM TM IDA;Ida;ADM;44;43
ROTA 67 - ADM VC VOLTA;Volta;ADM;44;42
ROTA 67 - ADM XX P2 IDA;Ida;ADM P2;44;31
ROTA 68 - 1T ESPECIAL XX P7 IDA;Ida;1T ESPECIAL P7;22;13
ROTA 68 - 1T ESPECIAL XX P7 VOLTA;Volta;1T ESPECIAL P7;22;13
ROTA 68 - 2T ESPECIAL XX P7 IDA;Ida;2T ESPECIAL P7;22;21
ROTA 68 - 2T ESPECIAL XX P7 VOLTA;Volta;2T ESPECIAL P7;22;21
ROTA 68 - 2T NORMAL VC IDA;Ida;2T Normal;22;24
ROTA 68 - 2T NORMAL VC VOLTA;Volta;2T Normal;22;24
ROTA 68 - ADM ED VOLTA;Volta;ADM;32;26
ROTA 68 - ADM LSL XX P7 IDA;Ida;ADM LSL P7;22;16
ROTA 68 - ADM LSL XX P7 VOLTA;Volta;ADM LSL P7;22;16
ROTA 68 - ADM TM IDA;Ida;ADM;44;44
ROTA 68 - ADM XX P2 IDA;Ida;ADM P2;32;21
ROTA 69 - 1T ESPECIAL XX P7 IDA;Ida;1T ESPECIAL P7;22;22
ROTA 69 - 1T ESPECIAL XX P7 VOLTA;Volta;1T ESPECIAL P7;22;22
ROTA 69 - 2T NORMAL TV IDA;Ida;2T Normal;32;23
ROTA 69 - 2T NORMAL TV VOLTA;Volta;2T Normal;32;22
ROTA 69 - ADM LSL XX P7 IDA;Ida;ADM LSL P7;32;21
ROTA 69 - ADM LSL XX P7 VOLTA;Volta;ADM LSL P7;32;21
ROTA 69 - ADM TM IDA;Ida;ADM;44;46
ROTA 69 - ADM TM VOLTA;Volta;ADM;44;40
ROTA 69 - ADM XX P2 IDA;Ida;ADM P2;32;25
ROTA 70 - 1T ESPECIAL XX P7 IDA;Ida;1T ESPECIAL P7;22;19
ROTA 70 - 1T ESPECIAL XX P7 VOLTA;Volta;1T ESPECIAL P7;22;19
ROTA 70 - 2T NORMAL VC IDA;Ida;2T Normal;32;30
ROTA 70 - 2T NORMAL VC VOLTA;Volta;2T Normal;32;30
ROTA 70 - ADM TM IDA;Ida;ADM;32;27
ROTA 70 - ADM TM VOLTA;Volta;ADM;41;29
ROTA 70 - ADM XX P2 IDA;Ida;ADM P2;44;39
ROTA 71 - 1T ESPECIAL XX P7 IDA;Ida;1T ESPECIAL P7;22;19
ROTA 71 - 1T ESPECIAL XX P7 VOLTA;Volta;1T ESPECIAL P7;22;19
ROTA 71 - ADM TM IDA;Ida;ADM;32;31
ROTA 71 - ADM TV VOLTA;Volta;ADM;32;23
ROTA 71 - ADM XX P2 IDA;Ida;ADM P2;44;30
ROTA 72 - 1T ESPECIAL XX P7 IDA;Ida;1T ESPECIAL P7;32;24
ROTA 72 - 1T ESPECIAL XX P7 VOLTA;Volta;1T ESPECIAL P7;32;24
ROTA 72 - ADM TV VOLTA;Volta;ADM;32;31
ROTA 72 - ADM VC IDA;Ida;ADM;44;38
ROTA 72 - ADM XX P2 IDA;Ida;ADM P2;44;38
ROTA 73 - 1T ESPECIAL XX P7 IDA;Ida;1T ESPECIAL P7;22;16
ROTA 73 - 1T ESPECIAL XX P7 VOLTA;Volta;1T ESPECIAL P7;22;16
ROTA 73 - ADM VC IDA;Ida;ADM;44;39
ROTA 73 - ADM VC VOLTA;Volta;ADM;32;28
ROTA 73 - ADM XX P2 IDA;Ida;ADM P2;32;17
ROTA 74 - 1T ESPECIAL XX P7 IDA;Ida;1T ESPECIAL P7;32;22
ROTA 74 - 1T ESPECIAL XX P7 VOLTA;Volta;1T ESPECIAL P7;32;22
ROTA 74 - ADM VC IDA;Ida;ADM;32;30
ROTA 74 - ADM VC VOLTA;Volta;ADM;44;35
ROTA 74 - ADM XX P2 IDA;Ida;ADM P2;44;28
ROTA 75 - ADM VC IDA;Ida;ADM;32;31
ROTA 75 - ADM VC VOLTA;Volta;ADM;44;37
ROTA 75 - ADM XX P2 IDA;Ida;ADM P2;44;29
ROTA 76 - ADM VC IDA;Ida;ADM;44;45
ROTA 76 - ADM VC VOLTA;Volta;ADM;44;41
ROTA 76 - ADM XX P2 IDA;Ida;ADM P2;32;23
ROTA 77 - ADM VC IDA;Ida;ADM;44;40
ROTA 77 - ADM VC VOLTA;Volta;ADM;44;41
ROTA 77 - ADM XX P2 IDA;Ida;ADM P2;44;26
ROTA 78 - ADM TM VOLTA;Volta;ADM;41;44
ROTA 78 - ADM VC IDA;Ida;ADM;44;38
ROTA 78 - ADM XX P2 IDA;Ida;ADM P2;32;25
ROTA 79 - ADM VC IDA;Ida;ADM;44;37
ROTA 79 - ADM VC VOLTA;Volta;ADM;32;33
ROTA 79 - ADM XX P2 IDA;Ida;ADM P2;44;18
ROTA 80 - ADM VC IDA;Ida;ADM;44;44
ROTA 80 - ADM VC VOLTA;Volta;ADM;32;34
ROTA 80 - ADM XX P2 IDA;Ida;ADM P2;32;24
ROTA 81 - ADM VC IDA;Ida;ADM;44;43
ROTA 81 - ADM VC VOLTA;Volta;ADM;44;41
ROTA 81 - ADM XX P2 IDA;Ida;ADM P2;22;16
ROTA 82 - ADM VC IDA;Ida;ADM;44;40
ROTA 82 - ADM VC VOLTA;Volta;ADM;48;42
ROTA 82 - ADM XX P2 IDA;Ida;ADM P2;32;24
ROTA 83 - ADM VC IDA;Ida;ADM;44;45
ROTA 83 - ADM VC VOLTA;Volta;ADM;44;31
ROTA 83 - ADM XX P2 IDA;Ida;ADM P2;44;35
ROTA 84 - ADM VC IDA;Ida;ADM;32;32
ROTA 84 - ADM VC VOLTA;Volta;ADM;50;47
ROTA 84 - ADM XX P2 IDA;Ida;ADM P2;22;14
ROTA 85 - ADM VC IDA;Ida;ADM;32;30
ROTA 85 - ADM VC VOLTA;Volta;ADM;44;41
ROTA 85 - ADM XX P2 IDA;Ida;ADM P2;44;36
ROTA 86 - ADM VC IDA;Ida;ADM;44;47
ROTA 86 - ADM VC VOLTA;Volta;ADM;44;32
ROTA 86 - ADM XX P2 IDA;Ida;ADM P2;44;39
ROTA 87 - ADM VC IDA;Ida;ADM;32;32
ROTA 87 - ADM VC VOLTA;Volta;ADM;32;28
ROTA 87 - ADM XX P2 IDA;Ida;ADM P2;32;18
ROTA 88 - ADM VC IDA;Ida;ADM;44;34
ROTA 88 - ADM VC VOLTA;Volta;ADM;32;35
ROTA 88 - ADM XX P2 IDA;Ida;ADM P2;32;26
ROTA 89 - ADM VC IDA;Ida;ADM;44;42
ROTA 89 - ADM VC VOLTA;Volta;ADM;44;34
ROTA 89 - ADM XX P2 IDA;Ida;ADM P2;22;17
ROTA 90 - ADM VC IDA;Ida;ADM;44;39
ROTA 90 - ADM XX P2 IDA;Ida;ADM P2;32;27
ROTA 91 - ADM ED VOLTA;Volta;ADM;22;23
ROTA 91 - ADM VC IDA;Ida;ADM;44;43
ROTA 91 - ADM XX P2 IDA;Ida;ADM P2;32;21
ROTA 92 - ADM VC IDA;Ida;ADM;44;41
ROTA 92 - ADM VC VOLTA;Volta;ADM;32;30
ROTA 92 - ADM XX P2 IDA;Ida;ADM P2;44;37
ROTA 93 - ADM VC IDA;Ida;ADM;48;38
ROTA 93 - ADM VC VOLTA;Volta;ADM;32;26
ROTA 93 - ADM XX P2 IDA;Ida;ADM P2;32;24
ROTA 94 - ADM VC IDA;Ida;ADM;32;26
ROTA 94 - ADM XX P2 IDA;Ida;ADM P2;32;27
ROTA 95 - ADM VC IDA;Ida;ADM;44;37
ROTA 95 - ADM XX P2 IDA;Ida;ADM P2;22;8
ROTA 96 - ADM VC IDA;Ida;ADM;44;37
ROTA 96 - ADM XX P2 IDA;Ida;ADM P2;44;30
ROTA 97 - ADM VC IDA;Ida;ADM;44;39
ROTA 97 - ADM XX P2 IDA;Ida;ADM P2;44;31
ROTA 98 - ADM VC IDA;Ida;ADM;44;35
ROTA 98 - ADM XX P2 IDA;Ida;ADM P2;44;31
ROTA 99 - ADM VC IDA;Ida;ADM;44;40
ROTA A1 - ADM VC IDA;Ida;ADM;32;26
ROTA A1 - ADM VC VOLTA;Volta;ADM;32;25
ROTA AGRÍCOLA KM 48 - DIVERSOS VC IDA;Ida;Diversos;32;0
ROTA AGRÍCOLA KM 48 - DIVERSOS VC VOLTA;Volta;Diversos;32;0
ROTA CENTRO - 1T ESPECIAL VC IDA;Ida;1T Especial;32;5
ROTA CENTRO - 1T ESPECIAL VC VOLTA;Volta;1T Especial;32;26
ROTA CENTRO - 1T ESPECIAL XX P2 VOLTA;Volta;1T ESPECIAL P2;32;0
ROTA CENTRO - 1T ESPECIAL XX P7 VOLTA;Volta;1T ESPECIAL P7;32;0
ROTA CENTRO - ADM VC VOLTA;Volta;ADM;44;34
ROTA F1 - DIVERSOS VC VOLTA;Volta;Diversos;32;41
ROTA F2 - DIVERSOS TM VOLTA;Volta;Diversos;32;36
ROTA F3 - DIVERSOS ED VOLTA;Volta;Diversos;44;47
VAN ADAP REFEITORIO - ADM VC IDA;Ida;Diversos;3;1
VAN ADAPTADA - DIVERSOS IDA;Ida;Diversos;3;3
VAN ADAPTADA - DIVERSOS VOLTA;Volta;Diversos;3;3
VAN KM 48 - 2T NORMAL VC IDA;Ida;Diversos;15;5
VAN KM 48 - 2T NORMAL VC VOLTA;Volta;Diversos;15;5
VAN MAGICLEAN KM 48 - DIVERSOS VC IDA;Ida;Diversos;15;1
VAN MAGICLEAN KM 48 - DIVERSOS VC VOLTA;Volta;Diversos;15;1
VAN TRANSBORDO - ADM VC IDA;Ida;Diversos;15;2
VAN TRANSBORDO - ADM VC VOLTA;Volta;Diversos;15;1
